Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-182.4069	-247.1401	64.73329	2.460141	0.6728285
6	-184.6923	-247.757	63.0647	3.597144	1.24721
12	-188.1093	-250.7543	62.64505	3.8007	1.420201
18	-183.9407	-248.7887	64.84799	2.32852	0.7037652
24	-187.8325	-249.942	62.10947	4.713983	0.1700145
30	-178.2625	-242.1622	63.8997	3.291495	0.3568294
36	-180.2339	-244.3092	64.07528	2.57209	1.259255
42	-185.4861	-249.6688	64.1827	3.037868	0.4030702
48	-187.8078	-251.8994	64.09168	3.037868	0.2986289
54	-180.2708	-244.2182	63.94735	3.071642	0.912273
60	-179.9231	-244.8165	64.89335	2.34013	0.5689965
66	-175.9177	-238.1088	62.19109	4.159928	1.492339
72	-178.1641	-240.7908	62.62676	4.159928	1.139732
78	-176.476	-239.4588	62.98273	3.396271	1.471222
84	-178.5748	-241.2877	62.71294	4.005777	1.199111
90	-172.7406	-236.3358	63.59521	3.182058	1.148093
96	-176.5959	-239.2649	62.66904	3.691891	1.484879
102	-184.3432	-247.6178	63.27464	3.963825	0.5445141
108	-186.3973	-249.6841	63.28675	3.934682	0.6089664
114	-186.5223	-250.6447	64.12249	2.642222	1.15918
120	-187.4728	-249.9313	62.45845	3.142215	2.018528
126	-189.7566	-251.725	61.96843	3.235417	2.277234
132	-180.5424	-244.2965	63.75407	3.467813	0.6076988
138	-180.6708	-242.295	61.62423	2.07523	3.199436
144	-180.0927	-244.503	64.41036	2.066461	1.396115
150	-186.1055	-250.6338	64.52836	2.629031	0.735131
156	-187.886	-251.7387	63.8526	3.358552	0.6351654
162	-185.009	-246.6473	61.63821	3.510448	2.312518
168	-181.897	-246.1095	64.21246	2.994175	0.6454741
174	-180.2342	-244.1037	63.86953	3.363364	0.4348391
180	-186.161	-249.0238	62.86276	3.920569	0.1601299
186	-183.7595	-248.1917	64.43217	2.737645	0.7151056
192	-184.7772	-249.1145	64.33725	2.772949	0.8026808
198	-195.5078	-258.065	62.55716	3.826259	1.467876
204	-179.9617	-244.7479	64.78616	2.351061	0.7653739
210	-180.914	-244.3701	63.45605	3.492198	0.9870226
216	-182.1866	-243.7952	61.60864	2.051977	3.222436
222	-188.7056	-249.1574	60.45184	1.407442	4.263029
228	-188.1886	-251.0782	62.88964	2.506838	2.152833
234	-194.649	-256.5592	61.91018	3.17703	2.351624
240	-186.0094	-250.1753	64.16587	3.062658	0.5873373
246	-178.4699	-242.5363	64.0664	2.541141	1.292001
252	-178.5907	-243.0171	64.4264	2.524518	0.9843094
258	-175.9493	-239.945	63.99565	2.752595	1.173591
264	-174.6603	-239.102	64.44164	2.752595	0.6712623
270	-175.3548	-239.1028	63.74795	3.468421	0.3947776
276	-184.3975	-245.5967	61.19916	3.705078	2.467074
282	-178.2017	-241.9575	63.7558	3.46737	0.4086646
288	-171.5768	-233.4452	61.86837	4.115286	1.757914
294	-168.9092	-232.8549	63.94572	3.272159	0.3976556
300	-167.7988	-231.7197	63.92095	1.699359	2.005463
306	-166.6527	-229.921	63.2683	2.073758	2.188186
312	-163.4916	-227.8912	64.39959	2.618634	0.9131231
318	-166.1188	-229.2486	63.12983	3.179283	1.523684
324	-164.7867	-228.8259	64.0392	2.269919	1.523684
330	-167.6005	-231.9737	64.37313	1.935987	1.523684
336	-166.7862	-231.0207	64.23459	2.300411	1.350368
342	-176.7564	-240.6972	63.94086	2.65978	1.297622
348	-172.8335	-237.241	64.40759	2.827859	0.5604096
354	-172.2996	-236.4705	64.17088	3.002122	0.7097721
360	-170.9815	-235.7704	64.78895	2.01961	1.120109
366	-174.4786	-235.739	61.26044	2.202084	3.339296
372	-171.0534	-230.0391	58.98571	1.492644	5.036897
378	-165.0138	-228.7716	63.75781	3.039124	1.130569
384	-169.5131	-233.5722	64.05916	3.039124	0.8182293
390	-173.3609	-236.9212	63.56027	2.897829	1.410653
396	-175.1767	-237.0599	61.8832	3.401308	2.225387
402	-174.368	-238.073	63.70502	2.781653	1.38843
408	-177.9762	-242.4872	64.51104	2.23877	1.172225
414	-179.5728	-242.4646	62.89177	2.089781	2.418468
420	-180.8817	-244.2018	63.32011	2.244003	2.042779
426	-187.0111	-250.2103	63.19914	2.398005	2.020869
432	-191.6492	-255.4489	63.79968	2.226101	1.728382
438	-194.6743	-258.2763	63.60205	3.40503	0.9253451
444	-191.6096	-254.7907	63.18106	3.75533	0.9989645
450	-198.5997	-259.9228	61.32306	4.057329	2.163298
456	-196.6512	-258.4082	61.75708	3.108114	2.49153
462	-190.2047	-254.3148	64.11014	2.968757	0.8425962
468	-187.6869	-248.7552	61.06827	5.527527	1.301564
474	-188.4156	-251.3532	62.93764	3.93477	1.061152
480	-189.9935	-252.8866	62.89314	2.890991	1.895303
486	-185.0762	-249.1877	64.11148	2.324056	1.428074
492	-178.9597	-243.3511	64.39143	2.5124	1.031053
498	-182.4774	-247.1707	64.69329	2.193255	1.047711
504	-178.0718	-241.6511	63.57924	3.563148	0.7578481
510	-180.5149	-244.0513	63.53635	3.606033	0.7578481
516	-179.8524	-243.8059	63.95349	3.188895	0.7578481
522	-177.2594	-241.1041	63.84465	3.18495	0.9004381
528	-176.276	-240.9811	64.70506	2.332643	0.8912708
534	-183.0778	-245.221	62.14319	2.134276	2.853159
540	-181.1452	-243.8761	62.73084	2.620867	2.181929
546	-176.9495	-239.4459	62.49645	2.407907	2.467
552	-177.6207	-241.4835	63.8628	2.524926	1.464609
558	-180.4224	-243.4131	62.99065	3.509225	1.378089
564	-179.615	-243.2255	63.61051	2.889368	1.378089
570	-179.1787	-242.516	63.33733	2.56167	1.816682
576	-186.1194	-249.0613	62.94195	2.613162	2.048732
582	-190.0325	-253.8319	63.79945	2.34717	1.642469
588	-189.8897	-254.0162	64.12648	2.020142	1.642469
594	-197.7383	-261.2435	63.50525	2.732072	1.576674
600	-192.1501	-256.2268	64.07666	2.738962	1.113719
606	-183.7741	-247.8785	64.10441	2.711212	1.113719
612	-182.4862	-245.8908	63.40458	3.833155	0.4542076
618	-179.7738	-243.1806	63.40674	3.833155	0.4667868
624	-180.6147	-242.5597	61.94502	3.152566	2.345033
630	-181.5687	-245.491	63.9223	2.562475	1.389912
636	-179.1278	-242.8363	63.70847	3.160554	1.064348
642	-182.0269	-245.8105	63.78362	3.085401	1.064348
648	-183.7194	-245.6982	61.97878	2.339529	2.828374
654	-176.8217	-238.9764	62.15466	2.166307	2.826757
660	-187.8836	-251.5283	63.64476	2.963601	1.291338
666	-188.975	-253.5507	64.5757	2.663491	0.5398548
672	-187.4196	-251.6305	64.21091	3.028285	0.5398548
678	-189.3775	-253.5549	64.17742	2.762372	0.995557
684	-191.4608	-255.6466	64.18588	2.614998	1.127032
690	-189.7053	-252.4636	62.7583	2.286347	2.378613
