Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	tree_length
0	-182.4069	-247.1401	64.73329	0.0222303	0.014701	0.00505101	0.0155356	0.00317447	0.0142594	0.0184108	0.0198424	0.0138122	0.038595	0.00250985	0.00166306	0.049621	0.00347894	0.0111429	0.00685597	0.0109117	0.00574512	0.00549396	0.0176175	0.0201572	0.00687967	0.00326292	0.0271716	0.0284038	0.0491868	0.00513473	0.00566728	0.00793066	0.0162743	0.0156029	0.00844313	0.012227	0.0143508	0.0183711	0.00814337	0.00767327	0.00875185	0.023535	0.00942899	0.00719524	0.00149312	0.0191721	0.0190993	0.0112408	0.0364366	0.000942584	0.0332946	0.190265	0.595899	1.67814	5.25584	30.0349	2.460141	0.0330401	0.0218495	0.00750713	0.02309	0.0047181	0.0211932	0.0273633	0.0294911	0.0205286	0.0573623	0.0037303	0.00247175	0.0737499	0.00517062	0.0165612	0.0101898	0.0162177	0.00853875	0.00816547	0.0261842	0.029959	0.010225	0.00484956	0.0403841	0.0422156	0.0731045	0.00763156	0.00842307	0.0117871	0.0241878	0.0231901	0.0125487	0.0181726	0.021329	0.0273043	0.0121032	0.0114045	0.0130075	0.0349792	0.014014	0.010694	0.00221916	0.0284948	0.0283865	0.0167068	0.0541544	0.00140093	0.6728285
36	-180.2339	-244.3092	64.07528	0.0158119	0.0383868	0.000793206	0.0442311	0.0170883	0.0550075	0.0101704	0.08804	0.0346817	0.026475	0.027104	0.022366	0.0621549	0.0047768	0.00541988	0.0304228	0.0370438	0.0188232	0.00728053	0.0133796	0.0234641	0.0259315	0.00223327	0.0306833	0.0303062	0.0578703	0.0314472	0.0342004	0.0211488	0.029684	0.059346	0.0704184	0.0235366	0.0030933	0.0444429	0.0150881	0.0066294	0.0279202	0.00392578	0.0185188	0.00370345	0.0076594	0.0501693	0.0283254	0.0229364	0.0160848	0.01103	0.028519	0.176427	0.582026	1.71814	5.66807	35.0644	2.57209	0.0125565	0.0304838	0.000629901	0.0351248	0.0135702	0.0436826	0.00807653	0.0699144	0.0275415	0.0210243	0.0215239	0.0177613	0.0493585	0.00379335	0.00430404	0.0241594	0.0294172	0.0149479	0.00578162	0.010625	0.0186333	0.0205927	0.00177348	0.0243662	0.0240668	0.045956	0.0249729	0.0271593	0.0167947	0.0235726	0.0471279	0.0559207	0.0186909	0.00245645	0.035293	0.0119818	0.00526454	0.022172	0.00311754	0.0147062	0.00294099	0.00608249	0.0398405	0.0224938	0.0182142	0.0127733	0.00875914	1.259255
72	-178.1641	-240.7908	62.62676	0.00135826	0.0199112	0.0169284	0.0266633	0.0461897	0.107013	0.00200198	0.0228049	0.0307565	0.0158059	0.0518427	0.0277515	0.0761882	0.00176016	0.0170724	0.0181067	0.00841099	0.00385138	0.0286265	0.0618569	0.0162464	0.0307713	3.61372e-05	0.00865093	0.0405029	0.0616247	0.0388566	0.0556601	0.0214027	0.00303411	0.0567973	0.0218368	0.00570512	0.00304614	0.00614736	0.00371829	0.0336236	0.0132019	0.0180541	0.0135346	0.00649491	0.000992651	0.0241011	0.021602	0.00667653	0.0219933	0.02052	0.00317275	0.0604566	0.416709	2.39976	16.5408	315.184	4.159928	0.00119173	0.01747	0.014853	0.0233943	0.0405268	0.0938933	0.00175653	0.020009	0.0269858	0.013868	0.0454867	0.0243491	0.0668475	0.00154437	0.0149793	0.0158868	0.0073798	0.0033792	0.0251168	0.0542732	0.0142546	0.0269987	3.17067e-05	0.00759032	0.0355372	0.0540694	0.0340928	0.0488361	0.0187787	0.00266212	0.0498339	0.0191596	0.00500567	0.00267268	0.00539369	0.00326242	0.0295013	0.0115833	0.0158407	0.0118753	0.00569862	0.000870951	0.0211463	0.0189535	0.00585798	0.0192969	0.0180042	1.139732
108	-186.3973	-249.6841	63.28675	0.00956078	0.0112358	0.0154225	0.00646637	0.0193499	0.00696065	0.0212133	0.00813428	0.0490528	0.00202655	0.0334373	0.00524022	0.0119224	0.00323581	0.00145094	0.0155955	0.00207003	0.000703005	0.00816632	0.00139485	0.000793004	0.00527855	0.00325307	0.0291846	0.0330083	0.00761642	1.12667e-05	0.00561898	0.0069614	0.0150124	0.00996558	0.00595376	0.00143863	0.0630832	0.0189234	0.050279	0.0352769	0.000670236	0.00173363	0.00990737	0.000848321	0.00136249	0.0323681	0.00480719	0.018403	0.00294643	0.011622	0.00433236	0.070376	0.436936	2.28867	14.2094	230.821	3.934682	0.0157	0.0184506	0.0253256	0.0106186	0.031775	0.0114303	0.034835	0.0133575	0.0805509	0.00332786	0.0549083	0.0086051	0.0195781	0.00531361	0.00238263	0.0256098	0.00339924	0.00115442	0.0134101	0.00229052	0.00130221	0.00866805	0.00534196	0.0479248	0.0542039	0.0125071	1.85014e-05	0.00922708	0.0114315	0.0246522	0.0163647	0.00977683	0.00236241	0.103591	0.0310746	0.0825644	0.0579292	0.00110061	0.00284683	0.0162691	0.00139305	0.00223739	0.0531526	0.00789401	0.03022	0.00483841	0.0190848	0.6089664
144	-180.0927	-244.503	64.41036	0.0485852	0.0272917	0.0636158	0.0283455	0.00511914	0.0613597	0.0291496	0.00860756	0.00232797	0.00945818	0.0720121	0.0520791	0.0238368	0.00359402	0.00470306	0.017035	0.00138098	0.0214059	0.00331505	0.0233731	0.0198084	0.0549387	0.0283772	0.12581	0.0217394	0.00956217	0.0154537	0.0290583	0.025336	0.0344401	0.05428	0.0343766	0.0187861	0.00337852	0.00587252	0.0179562	0.0537913	0.166155	0.049943	0.00396518	0.00432628	0.0548534	0.0152166	0.0152094	0.00976929	0.00179884	0.0153181	0.057389	0.248129	0.647367	1.54472	4.03016	17.425	2.066461	0.0348002	0.0195483	0.0455663	0.0203031	0.0036667	0.0439503	0.0208791	0.00616537	0.00166747	0.00677464	0.0515803	0.0373029	0.0170736	0.0025743	0.00336868	0.0122017	0.000989157	0.0153325	0.00237448	0.0167415	0.0141882	0.0393511	0.0203259	0.090114	0.0155714	0.00684912	0.0110691	0.0208137	0.0181475	0.0246685	0.0388793	0.0246231	0.013456	0.00241994	0.00420633	0.0128615	0.0385293	0.119012	0.0357728	0.00284015	0.0030988	0.03929	0.0108992	0.0108941	0.00699748	0.00128846	0.0109719	1.396115
180	-186.161	-249.0238	62.86276	0.00494653	0.00196702	0.00182164	0.00102146	0.00129409	0.00299805	0.00203231	0.00229214	0.00330404	0.000228429	0.00120564	0.00401102	0.00520596	0.00138427	0.000116652	0.00560015	8.32402e-05	0.000775616	0.0012132	0.00118999	0.00188337	0.00892224	0.000428916	0.0109513	0.0179811	0.00294715	0.000124251	0.00143297	0.000816488	0.00788275	0.0088831	0.00130119	0.00353229	0.00858958	0.00929302	0.00448039	0.00160125	0.00267032	0.00875396	0.00148701	0.00163588	0.000163528	0.000977428	0.00490699	0.00227197	0.000981882	0.00253815	0.00441775	0.0710491	0.438235	2.28188	14.0748	226.36	3.920569	0.0308907	0.0122839	0.011376	0.00637897	0.00808153	0.0187226	0.0126916	0.0143143	0.0206335	0.00142653	0.00752911	0.0250485	0.0325109	0.00864465	0.000728481	0.0349725	0.000519829	0.00484367	0.00757638	0.0074314	0.0117615	0.0557188	0.00267855	0.0683902	0.11229	0.0184047	0.00077594	0.00894877	0.00509891	0.0492272	0.0554744	0.00812585	0.0220589	0.0536413	0.0580343	0.0279797	0.00999969	0.016676	0.0546679	0.00928626	0.010216	0.00102122	0.00610397	0.0306438	0.0141883	0.00613178	0.0158505	0.1601299
216	-182.1866	-243.7952	61.60864	0.0303393	0.0683414	0.0127171	0.0362051	0.0820037	0.13172	0.0829402	0.120026	0.0562277	0.00282435	0.133971	0.143374	0.135916	0.00390857	0.00583189	0.0758899	0.0843062	0.0917093	0.0063355	0.0495369	0.00140342	0.134176	0.0345767	0.093851	0.020601	0.0200418	0.0438503	0.0698895	0.00848744	0.24284	0.07353	0.0379473	0.105652	0.0408976	0.0889523	0.015716	0.129075	0.0841625	0.222904	0.0391125	0.0378674	0.00261581	0.0494102	0.0676573	0.0666276	0.0638403	0.0726268	0.0585502	0.250565	0.649343	1.54002	3.99098	17.0794	2.051977	0.00941501	0.021208	0.00394641	0.0112353	0.0254477	0.0408758	0.0257384	0.0372471	0.0174488	0.000876464	0.0415744	0.0444924	0.042178	0.00121292	0.00180978	0.0235505	0.0261623	0.0284596	0.00196606	0.0153725	0.000435516	0.0416381	0.01073	0.0291243	0.00639298	0.00621946	0.0136078	0.0216884	0.00263386	0.0753591	0.0228182	0.011776	0.0327864	0.0126915	0.0276041	0.00487707	0.0400551	0.0261177	0.0691724	0.0121376	0.0117512	0.000811749	0.0153332	0.0209957	0.0206761	0.0198112	0.0225379	3.222436
252	-178.5907	-243.0171	64.4264	0.00516677	0.0010845	0.0929017	0.0158861	0.0134875	0.0734382	0.00419479	0.0214506	0.00614898	0.0031195	0.014253	0.00459126	0.0454544	0.000739247	0.00294115	0.0129551	0.0284094	0.000492967	0.00394299	0.0479145	0.0599709	0.0723444	0.0290278	0.0138759	0.00103828	0.0339932	0.00162535	0.021451	0.0106864	0.0697039	0.024618	0.0150167	0.0297289	0.0669253	0.00683863	0.00518665	0.00325512	0.00173503	0.0184348	0.00480778	0.00820219	0.00161015	0.025686	0.0302278	0.0121878	0.0136753	0.00388356	0.0304584	0.18218	0.587881	1.70102	5.48908	32.8317	2.524518	0.00524913	0.00110178	0.0943827	0.0161393	0.0137025	0.0746089	0.00426166	0.0217926	0.006247	0.00316923	0.0144802	0.00466445	0.0461789	0.000751031	0.00298804	0.0131616	0.0288623	0.000500826	0.00400584	0.0486782	0.0609268	0.0734976	0.0294905	0.0140971	0.00105483	0.034535	0.00165126	0.0217929	0.0108567	0.070815	0.0250105	0.015256	0.0302028	0.0679922	0.00694764	0.00526933	0.00330701	0.00176269	0.0187287	0.00488442	0.00833294	0.00163582	0.0260954	0.0307097	0.0123821	0.0138933	0.00394546	0.9843094
288	-171.5768	-233.4452	61.86837	0.0655393	0.064023	0.0328151	0.0799626	0.0551778	0.0437494	0.0193885	0.0659512	0.0182269	0.031167	0.0189697	0.0114455	0.0506342	0.00411299	0.00268179	0.0402823	0.105287	0.0598611	0.014421	0.0650512	0.00634499	0.0421526	0.0157494	0.0106777	0.00992865	0.0538102	0.00284961	0.00545732	0.074783	0.0563313	0.0992428	0.028883	0.00412596	0.0312941	0.0112099	0.0101289	0.00322486	0.0171784	0.0268397	0.0202534	0.0917636	0.00987992	0.00735906	0.0794803	0.0640707	0.068634	0.0575124	0.00337481	0.0623047	0.420642	2.37732	16.0501	296.313	4.115286	0.0372824	0.0364199	0.0186671	0.0454872	0.0313883	0.0248871	0.0110293	0.0375167	0.0103685	0.0177295	0.010791	0.00651083	0.0288036	0.0023397	0.00152556	0.0229148	0.0598934	0.0340523	0.00820349	0.0370048	0.00360938	0.0239788	0.00895916	0.00607405	0.00564797	0.0306103	0.00162102	0.00310443	0.0425408	0.0320444	0.0564549	0.0164303	0.00234707	0.0178019	0.00637683	0.00576191	0.00183448	0.00977204	0.0152679	0.0115213	0.0522003	0.00562026	0.00418625	0.0452129	0.036447	0.0390428	0.0327163	1.757914
324	-164.7867	-228.8259	64.0392	0.0544765	0.0290814	0.00873027	0.124971	0.134578	0.0061281	0.0274053	0.0283205	0.016603	0.0293341	0.0219205	0.04647	0.00688221	0.000932467	0.00991844	0.00346133	0.0421213	0.0498073	0.00842063	0.0528532	0.0510911	0.0605957	0.00110989	0.0216252	0.0117908	0.054074	0.0376817	0.0372138	0.015692	0.00833357	0.0358298	0.0149601	0.0484817	0.0140723	0.0192511	0.0568067	0.0185689	0.011497	0.0853339	0.032893	0.0455633	0.0211229	0.0135766	0.0431775	0.0411376	0.00790014	0.011888	0.0433138	0.216311	0.620236	1.61229	4.62297	23.0873	2.269919	0.0357531	0.0190863	0.00572971	0.082019	0.0883241	0.0040219	0.0179862	0.0185869	0.0108966	0.0192521	0.0143865	0.0304984	0.00451682	0.000611982	0.00650951	0.00227168	0.0276444	0.0326888	0.00552649	0.0346878	0.0335313	0.0397692	0.000728423	0.0141927	0.00773832	0.035489	0.0247307	0.0244236	0.0102987	0.00546936	0.0235152	0.00981841	0.0318187	0.00923572	0.0126346	0.0372825	0.0121868	0.00754551	0.056005	0.0215878	0.0299034	0.0138631	0.00891041	0.0283376	0.0269988	0.00518489	0.00780212	1.523684
